TransactionID,Date,ItemID,Category,Color,ColorCode,Size,DealPrice,Description,CustomerID,Gender,Age,CCType,CCNum,CCName,CCExpireDate,CVV
20211001083455 ,10-01-2021,SH011,Shirt,Black,#000000,XL,16.5,Previously sold shirt.,2021001,Male,26,Visa,4524824895930800 ,Collin Chambers,06/25,987
20211001083455 ,10-01-2021,SH012,Shirt,Black,#000000,M,10,Previously sold shirt.,2021001,Male,26,Visa,4524824895930800 ,Collin Chambers,06/25,987
20211001083455 ,10-01-2021,SH013,Shirt,Black,#000000,S,9,Previously sold shirt.,2021001,Male,26,Visa,4524824895930800 ,Collin Chambers,06/25,987
20211001083455 ,10-01-2021,SH014,Shirt,Black,#000000,M,10,Previously sold shirt.,2021001,Male,26,Visa,4524824895930800 ,Collin Chambers,06/25,987
20211001083455 ,10-01-2021,SH015,Shirt,Black,#000000,M,10,Previously sold shirt.,2021001,Male,26,Visa,4524824895930800 ,Collin Chambers,06/25,987
20211001083455 ,10-01-2021,SH016,Shirt,Black,#000000,M,10,Previously sold shirt.,2021001,Male,26,Visa,4524824895930800 ,Collin Chambers,06/25,987
20211001083455 ,10-01-2021,SH017,Shirt,Black,#000000,L,15,Previously sold shirt.,2021001,Male,26,Visa,4524824895930800 ,Collin Chambers,06/25,987
20211001083455 ,10-01-2021,SH018,Shirt,White,#ffffff,L,15,Previously sold shirt.,2021001,Male,26,Visa,4524824895930800 ,Collin Chambers,06/25,987
20211001083455 ,10-01-2021,SH019,Shirt,White,#ffffff,M,10,Previously sold shirt.,2021001,Male,26,Visa,4524824895930800 ,Collin Chambers,06/25,987
202111022094357 ,11-02-2021,SH020,Shirt,White,#ffffff,M,10,Previously sold shirt.,2021002,Male,19,MasterCard,4524824895889210 ,Mason Greenwood,07/24,765
202111022094357 ,11-02-2021,TR011,Trouser,Blue,#4a86e8,XL,30,Previously sold trousers.,2021002,Male,19,MasterCard,4524824895889210 ,Mason Greenwood,07/24,765
202111022094357 ,11-02-2021,TR012,Trouser,Blue,#4a86e8,XL,30,Previously sold trousers.,2021002,Male,19,MasterCard,4524824895889210 ,Mason Greenwood,07/24,765
